department,city,zip
Bolívar,Arenal,13042
Bolívar,Arjona,13052
Bolívar,Arroyohondo,13062
Bolívar,Barranco De Loba,13074
Bolívar,Calamar,13140
Bolívar,Cantagallo,13160
Bolívar,Cartagena De Indias,13001
Bolívar,Cicuco,13188
Bolívar,Clemencia,13222
Bolívar,Córdoba,13212
Bolívar,El Carmen De Bolívar,13244
Bolívar,El Guamo,13248
Bolívar,El Peñón,13268
Bolívar,Hatillo De Loba,13300
Bolívar,Magangué,13430
Bolívar,Mahates,13433
Bolívar,Margarita,13440
Bolívar,María La Baja,13442
Bolívar,Mompós,13468
Bolívar,Montecristo,13458
Bolívar,Morales,13473
Bolívar,Norosí,13490
Bolívar,Pinillos,13549
Bolívar,Regidor,13580
Bolívar,Río Viejo,13600
Bolívar,San Cristóbal,13620
Bolívar,San Estanislao,13647
Bolívar,San Fernando,"13650"""
Bolívar,San Jacinto,13654
Bolívar,San Jacinto Del Cauca,13655
Bolívar,San Juan Nepomuceno,13657
Bolívar,San Martín De Loba,13667
Bolívar,San Pablo,13670
Bolívar,Santa Catalina,13673
Bolívar,Santa Rosa,13683
Bolívar,Santa Rosa Del Sur,13688
Bolívar,Simití,13744
Bolívar,Soplaviento,13760
Bolívar,Talaigua Nuevo,13780
Bolívar,Tiquisio,13810
Bolívar,Turbaco,13836
Bolívar,Turbaná,13838
Bolívar,Villanueva,13873
Bolívar,Zambrano,13894
Boyacá,Almeida,15022
Boyacá,Aquitania,15047
Boyacá,Arcabuco,15051
Boyacá,Belén,15087
Boyacá,Berbeo,15090
Boyacá,Betéitiva,15092
Boyacá,Boavita,15097
Boyacá,Boyacá,15104
Boyacá,Briceño,15106
Boyacá,Buenavista,15109
Boyacá,Busbanzá,15114
Boyacá,Caldas,15131
Boyacá,Campohermoso,15135
Boyacá,Cerinza,15162
Boyacá,Chinavita,15172
Boyacá,Chiquinquirá,15176
Boyacá,Chíquiza,15232
Boyacá,Chiscas,15180
Boyacá,Chita,15183
Boyacá,Chitaraque,15185
Boyacá,Chivatá,15187
Boyacá,Chivor,15236
Boyacá,Ciénega,15189
Boyacá,Cómbita,15204
Boyacá,Coper,15212
Boyacá,Corrales,15215
Boyacá,Covarachía,15218
Boyacá,Cubará,15223
Boyacá,Cucaita,15224
Boyacá,Cuítiva,15226
Boyacá,Duitama,15238
Boyacá,El Cocuy,15244
Boyacá,El Espino,15248
Boyacá,Firavitoba,15272
Boyacá,Floresta,15276
Boyacá,Gachantivá,15293
Boyacá,Gámeza,15296
Boyacá,Garagoa,15299
Boyacá,Guacamayas,15317
Boyacá,Guateque,15322
Boyacá,Guayatá,15325
Boyacá,Güicán,15332
Boyacá,Iza,15362
Boyacá,Jenesano,15367
Boyacá,Jericó,15368
Boyacá,La Capilla,15380
Boyacá,La Uvita,15403
Boyacá,La Victoria,15401
Boyacá,Labranzagrande,15377
Boyacá,Macanal,15425
Boyacá,Maripí,15442
Boyacá,Miraflores,15455
Boyacá,Mongua,15464
Boyacá,Monguí,15466
Boyacá,Moniquirá,15469
Boyacá,Motavita,15476
Boyacá,Muzo,15480
Boyacá,Nobsa,15491
Boyacá,Nuevo Colón,15494
Boyacá,Oicatá,15500
Boyacá,Otanche,15507
Boyacá,Pachavita,15511
Boyacá,Páez,15514
Boyacá,Paipa,15516
Boyacá,Pajarito,15518
Boyacá,Panqueba,15522
Boyacá,Pauna,15531
Boyacá,Paya,15533
Boyacá,Paz De Río,15537
Boyacá,Pesca,15542
Boyacá,Pisba,15550
Boyacá,Puerto Boyacá,15572
Boyacá,Quípama,15580
Boyacá,Ramiriquí,15599
Boyacá,Ráquira,15600
Boyacá,Rondón,15621
Boyacá,Saboyá,15632
Boyacá,Sáchica,15638
Boyacá,Samacá,15646
Boyacá,San Eduardo,15660
Boyacá,San José De Pare,15664
Boyacá,San Luis De Gaceno,15667
Boyacá,San Mateo,15673
Boyacá,San Miguel De Sema,15676
Boyacá,San Pablo De Borbur,15681
Boyacá,Santa María,15690
Boyacá,Santa Rosa De Viterbo,15693
Boyacá,Santa Sofía,15696
Boyacá,Santana,15686
Boyacá,Sativanorte,15720
Boyacá,Sativasur,15723
Boyacá,Siachoque,15740
Boyacá,Soatá,15753
Boyacá,Socha,15757
Boyacá,Socotá,15755
Boyacá,Sogamoso,15759
Boyacá,Somondoco,15761
Boyacá,Sora,15762
Boyacá,Soracá,15764
Boyacá,Sotaquirá,15763
Boyacá,Susacón,15774
Boyacá,Sutamarchán,15776
Boyacá,Sutatenza,15778
Boyacá,Tasco,15790
Boyacá,Tenza,15798
Boyacá,Tibaná,15804
Boyacá,Tibasosa,15806
Boyacá,Tinjacá,15808
Boyacá,Tipacoque,15810
Boyacá,Toca,15814
Boyacá,Togüí,15816
Boyacá,Tópaga,15820
Boyacá,Tota,15822
Boyacá,Tunja,15001
Boyacá,Tununguá,15832
Boyacá,Turmequé,15835
Boyacá,Tuta,15837
Boyacá,Tutazá,15839
Boyacá,Úmbita,15842
Boyacá,Ventaquemada,15861
Boyacá,Villa De Leyva,15407
Boyacá,Viracachá,15879
Boyacá,Zetaquira,15897
Caldas ,Aguadas,17013
Caldas ,Anserma,17042
Caldas ,Aranzazu,17050
Caldas ,Belalcázar,17088
Caldas ,Chinchiná,17174
Caldas ,Filadelfia,17272
Caldas ,La Dorada,17380
Caldas ,La Merced,17388
Caldas ,Manizales,17001
Caldas ,Manzanares,17433
Caldas ,Marmato,17442
Caldas ,Marquetalia,17444
Caldas ,Marulanda,17446
Caldas ,Neira,17486
Caldas ,Norcasia,17495
Caldas ,Pácora,17513
Caldas ,Palestina,17524
Caldas ,Pensilvania,17541
Caldas ,Riosucio,17614
Caldas ,Risaralda,17616
Caldas ,Salamina,17653
Caldas ,Samaná,17662
Caldas ,San José,17665
Caldas ,Supía,17777
Caldas ,Victoria,17867
Caldas ,Villamaría,17873
Caldas ,Viterbo,17877
Caquetá,Albania,18029
Caquetá,Belén De Los Andaquíes,18094
Caquetá,Cartagena Del Chairá,18150
Caquetá,Curillo,18205
Caquetá,El Doncello,18247
Caquetá,El Paujíl,18256
Caquetá,Florencia,18001
Caquetá,La Montañita,18410
Caquetá,Milán,18460
Caquetá,Morelia,18479
Caquetá,Puerto Rico,18592
Caquetá,San José Del Fragua,18610
Caquetá,San Vicente Del Caguán,18753
Caquetá,Solano,18756
Caquetá,Solita,18785
Caquetá,Valparaíso,18860
Casanare,Aguazul,85010
Casanare,Chámeza,85015
Casanare,Hato Corozal,85125
Casanare,La Salina,85136
Casanare,Maní,85139
Casanare,Monterrey,85162
Casanare,Nunchía,85225
Casanare,Orocué,85230
Casanare,Paz De Ariporo,85250
Casanare,Pore,85263
Casanare,Recetor,85279
Casanare,Sabanalarga,85300
Casanare,Sácama,85315
Casanare,San Luis De Palenque,85325
Casanare,Támara,85400
Casanare,Tauramena,85410
Casanare,Trinidad,85430
Casanare,Villanueva,85440
Casanare,Yopal,85001
Cauca,Almaguer,19022
Cauca,Argelia,19050
Cauca,Balboa,19075
Cauca,Bolívar,19100
Cauca,Buenos Aires,19110
Cauca,Cajibío,19130
Cauca,Caldono,19137
Cauca,Caloto,19142
Cauca,Corinto,19212
Cauca,El Tambo,19256
Cauca,Florencia,19290
Cauca,Guachené,19300
Cauca,Guapí,19318
Cauca,Inzá,19355
Cauca,Jambaló,19364
Cauca,La Sierra,19392
Cauca,La Vega,19397
Cauca,López De Micay,19418
Cauca,Mercaderes,19450
Cauca,Miranda,19455
Cauca,Morales,19473
Cauca,Padilla,19513
Cauca,Páez,19517
Cauca,Patía,19532
Cauca,Piamonte,19533
Cauca,Piendamó,19548
Cauca,Popayán,19001
Cauca,Puerto Tejada,19573
Cauca,Puracé,19585
Cauca,Rosas,19622
Cauca,San Sebastián,19693
Cauca,Santa Rosa,19701
Cauca,Santander De Quilichao,19698
Cauca,Silvia,19743
Cauca,Sotara,19760
Cauca,Suárez,19780
Cauca,Sucre,19785
Cauca,Timbío,19807
Cauca,Timbiquí,19809
Cauca,Toribío,19821
Cauca,Totoró,19824
Cauca,Villa Rica,19845
Cesar,Aguachica,20011
Cesar,Agustín Codazzi,20013
Cesar,Astrea,20032
Cesar,Becerril,20045
Cesar,Bosconia,20060
Cesar,Chimichagua,20175
Cesar,Chiriguaná,20178
Cesar,Curumaní,20228
Cesar,El Copey,20238
Cesar,El Paso,20250
Cesar,Gamarra,20295
Cesar,González,20310
Cesar,La Gloria,20383
Cesar,La Jagua De Ibirico,20400
Cesar,La Paz,20621
Cesar,Manaure Balcón Del Cesar,20443
Cesar,Pailitas,20517
Cesar,Pelaya,20550
Cesar,Pueblo Bello,20570
Cesar,Río De Oro,20614
Cesar,San Alberto,20710
Cesar,San Diego,20750
Cesar,San Martín,20770
Cesar,Tamalameque,20787
Cesar,Valledupar,20001
Chocó,Acandí,27006
Chocó,Alto Baudó,27025
Chocó,Atrato,27050
Chocó,Bagadó,27073
Chocó,Bahía Solano,27075
Chocó,Bajo Baudó,27077
Chocó,Bojayá,27099
Chocó,Carmen Del Darién,27150
Chocó,Cértegui,27160
Chocó,Condoto,27205
Chocó,El Cantón Del San Pablo,27135
Chocó,El Carmen De Atrato,27245
Chocó,El Litoral Del San Juan,27250
Chocó,Istmina,27361
Chocó,Juradó,27372
Chocó,Lloró,27413
Chocó,Medio Atrato,27425
Chocó,Medio Baudó,27430
Chocó,Medio San Juan,27450
Chocó,Nóvita,27491
Chocó,Nuquí,27495
Chocó,Quibdó,27001
Chocó,Río Iró,27580
Chocó,Río Quito,27600
Chocó,Riosucio,27615
Chocó,San José Del Palmar,27660
Chocó,Sipí,27745
Chocó,Tadó,27787
Chocó,Unguía,27800
Chocó,Unión Panamericana,27810
Córdoba,Ayapel,23068
Córdoba,Buenavista,23079
Córdoba,Canalete,23090
Córdoba,Cereté,23162
Córdoba,Chimá,23168
Córdoba,Chinú,23182
Córdoba,Ciénaga De Oro,23189
Córdoba,Cotorra,23300
Córdoba,La Apartada,23350
Córdoba,Lorica,23417
Córdoba,Los Córdobas,23419
Córdoba,Momil,23464
Córdoba,Moñitos,23500
Córdoba,Montelíbano,23466
Córdoba,Montería,23001
Córdoba,Planeta Rica,23555
Córdoba,Pueblo Nuevo,23570
Córdoba,Puerto Escondido,23574
Córdoba,Puerto Libertador,23580
Córdoba,Purísima De La Concepción,23586
Córdoba,Sahagún,23660
Córdoba,San Andrés De Sotavento,23670
Córdoba,San Antero,23672
Córdoba,San Bernardo Del Viento,23675
Córdoba,San Carlos,23678
Córdoba,San José De Uré,23682
Córdoba,San Pelayo,23686
Córdoba,Tierralta,23807
Córdoba,Tuchín,23815
Córdoba,Valencia,23855
Cundinamarca,Agua De Dios,25001
Cundinamarca,Albán,25019
Cundinamarca,Anapoima,25035
Cundinamarca,Anolaima,25040
Cundinamarca,Apulo,25599
Cundinamarca,Arbeláez,25053
Cundinamarca,Beltrán,25086
Cundinamarca,Bituima,25095
Cundinamarca,Bojacá,25099
Cundinamarca,Cabrera,25120
Cundinamarca,Cachipay,25123
Cundinamarca,Cajicá,25126
Cundinamarca,Caparrapí,25148
Cundinamarca,Cáqueza,25151
Cundinamarca,Carmen De Carupa,25154
Cundinamarca,Chaguaní,25168
Cundinamarca,Chía,25175
Cundinamarca,Chipaque,25178
Cundinamarca,Choachí,25181
Cundinamarca,Chocontá 2,5183
Cundinamarca,Cogua,25200
Cundinamarca,Cota,25214
Cundinamarca,Cucunubá,25224
Cundinamarca,El Colegio,25245
Cundinamarca,El Peñón,25258
Cundinamarca,El Rosal,25260
Cundinamarca,Facatativá,25269
Cundinamarca,Fómeque,25279
Cundinamarca,Fosca,25281
Cundinamarca,Funza,25286
Cundinamarca,Fúquene,25288
Cundinamarca,Fusagasugá,25290
Cundinamarca,Gachalá,25293
Cundinamarca,Gachancipá,25295
Cundinamarca,Gachetá,25297
Cundinamarca,Gama,25299
Cundinamarca,Girardot,25307
Cundinamarca,Granada,25312
Cundinamarca,Guachetá,25317
Cundinamarca,Guaduas,25320
Cundinamarca,Guasca,25322
Cundinamarca,Guataquí,25324
Cundinamarca,Guatavita,25326
Cundinamarca,Guayabal De Síquima,25328
Cundinamarca,Guayabetal,25335
Cundinamarca,Gutiérrez,25339
Cundinamarca,Jerusalén,25368
Cundinamarca,Junín,25372
Cundinamarca,La Calera,25377
Cundinamarca,La Mesa,25386
Cundinamarca,La Palma,25394
Cundinamarca,La Peña,25398
Cundinamarca,La Vega,25402
Cundinamarca,Lenguazaque,25407
Cundinamarca,Machetá,25426
Cundinamarca,Madrid,25430
Cundinamarca,Manta,"25436"""
Cundinamarca,Medina,25438
Cundinamarca,Mosquera,25473
Cundinamarca,Nariño,25483
Cundinamarca,Nemocón,25486
Cundinamarca,Nilo,25488
Cundinamarca,Nimaima,25489
Cundinamarca,Nocaima,25491
Cundinamarca,Pacho,25513
Cundinamarca,Paime,25518
Cundinamarca,Pandi,25524
Cundinamarca,Paratebueno,25530
Cundinamarca,Pasca,25535
Cundinamarca,Puerto Salgar,25572
Cundinamarca,Pulí,25580
Cundinamarca,Quebradanegra,25592
Cundinamarca,Quetame,25594
Cundinamarca,Quipile,25596
Cundinamarca,Ricaurte,25612
Cundinamarca,San Antonio Del Tequendama,25645
Cundinamarca,San Bernardo,25649
Cundinamarca,San Cayetano,25653
Cundinamarca,San Francisco,25658
Cundinamarca,San Juan De Rioseco,25662
Cundinamarca,Sasaima,25718
Cundinamarca,Sesquilé,25736
Cundinamarca,Sibaté,25740
Cundinamarca,Silvania,25743
Cundinamarca,Simijaca,25745
Cundinamarca,Soacha,25754
Cundinamarca,Sopó,25758
Cundinamarca,Subachoque,25769
Cundinamarca,Suesca,25772
Cundinamarca,Supatá,25777
Cundinamarca,Susa,25779
Cundinamarca,Sutatausa,25781
Cundinamarca,Tabio,25785
Cundinamarca,Tausa,25793
Cundinamarca,Tena,25797
Cundinamarca,Tenjo,25799
Cundinamarca,Tibacuy,25805
Cundinamarca,Tibirita,25807
Cundinamarca,Tocaima,25815
Cundinamarca,Tocancipá,25817
Cundinamarca,Topaipí,25823
Cundinamarca,Ubalá,25839
Cundinamarca,Ubaque,25841
Cundinamarca,Une,25845
Cundinamarca,Útica,25851
Cundinamarca,Venecia,25506
Cundinamarca,Vergara,25862
Cundinamarca,Vianí,"25867"""
Cundinamarca,Villa De San Diego De Ubaté,25843
Cundinamarca,Villagómez,25871
Cundinamarca,Villapinzón 2,5873
Cundinamarca,Villeta,25875
Cundinamarca,Viotá,25878
Cundinamarca,Yacopí,25885
Cundinamarca,Zipacón,25898
Cundinamarca,Zipaquirá,"25899"""
Guainía,Barranco Minas,94343
Guainía,Cacahual,94886
Guainía,Inírida,94001
Guainía,La Guadalupe,94885
Guainía,Mapiripana,94663
Guainía,Morichal,94888
Guainía,Pana Pana,94887
Guainía,Puerto Colombia,94884
Guainía,San Felipe,94883
Guaviare,Calamar,95015
Guaviare,El Retorno,95025
Guaviare,Miraflores,95200
Guaviare,San José Del Guaviare,95001
Huila,Acevedo,41006
Huila,Agrado,41013
Huila,Aipe,41016
Huila,Algeciras,41020
Huila,Altamira,41026
Huila,Baraya,41078
Huila,Campoalegre,41132
Huila,Colombia,41206
Huila,Elías,41244
Huila,Garzón,41298
Huila,Gigante,41306
Huila,Guadalupe,41319
Huila,Hobo,41349
Huila,Íquira,41357
Huila,Isnos,41359
Huila,La Argentina,41378
Huila,La Plata,41396
Huila,Nátaga,41483
Huila,Neiva,41001
Huila,Oporapa,41503
Huila,Paicol,41518
Huila,Palermo,41524
Huila,Palestina,41530
Huila,Pital,41548
Huila,Pitalito,41551
Huila,Rivera,41615
Huila,Saladoblanco,41660
Huila,San Agustín,41668
Huila,Santa María,41676
Huila,Suaza,41770
Huila,Tarqui,41791
Huila,Tello,41799
Huila,Teruel,41801
Huila,Tesalia,41797
Huila,Timaná,41807
Huila,Villavieja,41872
Huila,Yaguará,41885
La Guajira,Albania,44035
La Guajira,Barrancas,44078
La Guajira,Dibulla,44090
La Guajira,Distracción,44098
La Guajira,El Molino,44110
La Guajira,Fonseca,44279
La Guajira,Hatonuevo,44378
La Guajira,La Jagua Del Pilar,44420
La Guajira,Maicao,44430
La Guajira,Manaure,44560
La Guajira,Riohacha,44001
La Guajira,San Juan Del Cesar,44650
La Guajira,Uribia,44847
La Guajira,Urumita,44855
La Guajira,Villanueva,44874
Magdalena,Algarrobo ,47030
Magdalena,Aracataca ,47053
Magdalena,Ariguaní ,47058
Magdalena,Cerro De San Antonio ,47161
Magdalena,Chivolo ,47170
Magdalena,Ciénaga ,47189
Magdalena,Concordia ,47205
Magdalena,El Banco ,47245
Magdalena,El Piñón ,47258
Magdalena,El Retén ,47268
Magdalena,Fundación ,47288
Magdalena,Guamal ,47318
Magdalena,Nueva Granada ,47460
Magdalena,Pedraza ,47541
Magdalena,Pijiño Del Carmen ,47545
Magdalena,Pivijay ,47551
Magdalena,Plato ,47555
Magdalena,Puebloviejo ,47570
Magdalena,Remolino ,47605
Magdalena,Sabanas De San Ángel ,47660
Magdalena,Salamina ,47675
Magdalena,San Sebastián De Buenavista ,47692
Magdalena,San Zenón ,47703
Magdalena,Santa Ana ,47707
Magdalena,Santa Bárbara De Pinto ,47720
Magdalena,Santa Marta ,47001
Magdalena,Sitionuevo ,47745
Magdalena,Tenerife ,47798
Magdalena,Zapayán ,47960
Magdalena,Zona Bananera,47980
Meta,Acacías ,5154
Meta,Barranca De Upía ,50110
Meta,Cabuyaro ,50124
Meta,Castilla La Nueva ,50150
Meta,Cumaral ,50226
Meta,El Calvario ,50245
Meta,El Castillo ,50251
Meta,El Dorado ,50270
Meta,Fuente De Oro ,50287
Meta,Granada ,50313
Meta,Guamal ,50318
Meta,La Macarena ,50350
Meta,Lejanías ,50400
Meta,Mapiripán ,50325
Meta,Mesetas ,50330
Meta,Puerto Concordia ,50450
Meta,Puerto Gaitán ,50568
Meta,Puerto Lleras ,50577
Meta,Puerto López ,50573
Meta,Puerto Rico ,50590
Meta,Restrepo ,50606
Meta,San Carlos De Guaroa ,50680
Meta,San Juan De Arama ,50683
Meta,San Juanito ,50686
Meta,San Luis De Cubarral ,50223
Meta,San Martín ,50689
Meta,Uribe ,50370
Meta,Villavicencio ,50001
Meta,Vistahermosa ,50711
Nariño,Albán ,52019
Nariño,Aldana ,52022
Nariño,Ancuyá ,52036
Nariño,Arboleda ,52051
Nariño,Barbacoas ,52079
Nariño,Belén ,52083
Nariño,Buesaco ,52110
Nariño,Chachagüí ,52240
Nariño,Colón ,52203
Nariño,Consacá ,52207
Nariño,Contadero ,52210
Nariño,Córdoba ,52215
Nariño,Cuaspúd ,52224
Nariño,Cumbal ,52227
Nariño,Cumbitara ,52233
Nariño,El Charco ,52250
Nariño,El Peñol ,52254
Nariño,El Rosario ,52256
Nariño,El Tablón De Gómez ,52258
Nariño,El Tambo ,52260
Nariño,Francisco Pizarro ,52520
Nariño,Funes ,52287
Nariño,Guachucal ,52317
Nariño,Guaitarilla ,52320
Nariño,Gualmatán ,52323
Nariño,Iles ,52352
Nariño,Imués ,52354
Nariño,Ipiales ,52356
Nariño,La Cruz ,52378
Nariño,La Florida ,52381
Nariño,La Llanada ,52385
Nariño,La Tola ,52390
Nariño,La Unión ,52399
Nariño,Leiva ,52405
Nariño,Linares ,52411
Nariño,Los Andes ,52418
Nariño,Magüí ,52427
Nariño,Mallama ,52435
Nariño,Mosquera ,52473
Nariño,Nariño ,52480
Nariño,Olaya Herrera ,52490
Nariño,Ospina ,52506
Nariño,Pasto ,52001
Nariño,Policarpa ,52540
Nariño,Potosí ,52560
Nariño,Providencia ,52565
Nariño,Puerres ,52573
Nariño,Pupiales ,52585
Nariño,Ricaurte ,52612
Nariño,Roberto Payán ,52621
Nariño,Samaniego ,52678
Nariño,San Andrés De Tumaco ,52835
Nariño,San Bernardo ,52685
Nariño,San Lorenzo ,52687
Nariño,San Pablo ,52693
Nariño,San Pedro De Cartago ,52694
Nariño,Sandoná ,52683
Nariño,Santa Bárbara ,52696
Nariño,Santacruz ,52699
Nariño,Sapuyes ,52720
Nariño,Taminango ,52786
Nariño,Tangua ,52788
Nariño,Túquerres ,52838
Nariño,Yacuanquer,52885
Norte De Santander,Ábrego ,54003
Norte De Santander,Arboledas ,54051
Norte De Santander,Bochalema ,54099
Norte De Santander,Bucarasica ,54109
Norte De Santander,Cáchira ,54128
Norte De Santander,Cácota ,54125
Norte De Santander,Chinácota ,54172
Norte De Santander,Chitagá ,54174
Norte De Santander,Convención ,54206
Norte De Santander,Cúcuta ,54001
Norte De Santander,Cucutilla ,54223
Norte De Santander,Durania ,54239
Norte De Santander,El Carmen ,54245
Norte De Santander,El Tarra ,54250
Norte De Santander,El Zulia ,54261
Norte De Santander,Gramalote ,54313
Norte De Santander,Hacarí ,54344
Norte De Santander,Herrán ,54347
Norte De Santander,La Esperanza ,54385
Norte De Santander,La Playa ,54398
Norte De Santander,Labateca ,54377
Norte De Santander,Los Patios ,54405
Norte De Santander,Lourdes ,54418
Norte De Santander,Mutiscua ,54480
Norte De Santander,Ocaña ,54498
Norte De Santander,Pamplona ,54518
Norte De Santander,Pamplonita ,54520
Norte De Santander,Puerto Santander ,54553
Norte De Santander,Ragonvalia ,54599
Norte De Santander,Salazar ,54660
Norte De Santander,San Calixto ,54670
Norte De Santander,San Cayetano ,54673
Norte De Santander,Santiago ,54680
Norte De Santander,Sardinata ,54720
Norte De Santander,Silos ,54743
Norte De Santander,Teorama ,54800
Norte De Santander,Tibú ,54810
Norte De Santander,Toledo ,54820
Norte De Santander,Villa Caro ,54871
Norte De Santander,Villa Del Rosario ,54874
Putumayo,Colón ,86219
Putumayo,Mocoa ,86001
Putumayo,Orito ,86320
Putumayo,Puerto Asís ,86568
Putumayo,Puerto Caicedo ,86569
Putumayo,Puerto Guzmán ,86571
Putumayo,Puerto Leguízamo ,86573
Putumayo,San Francisco ,86755
Putumayo,San Miguel ,86757
Putumayo,Santiago ,86760
Putumayo,Sibundoy ,86749
Putumayo,Valle Del Guamuez ,86865
Putumayo,Villagarzón ,86885
Quindio,Armenia ,63001
Quindio,Buenavista ,63111
Quindio,Calarcá ,63130
Quindio,Circasia ,63190
Quindio,Córdoba ,63212
Quindio,Filandia ,63272
Quindio,Génova ,63302
Quindio,La Tebaida ,63401
Quindio,Montenegro ,63470
Quindio,Pijao ,63548
Quindio,Quimbaya ,63594
Quindio,Salento ,63690
Risaralda,Apía ,66045
Risaralda,Balboa ,66075
Risaralda,Belén De Umbría ,66088
Risaralda,Dosquebradas ,66170
Risaralda,Guática ,66318
Risaralda,La Celia ,66383
